IdPassageiro,Idade
786,25.0
787,18.0
788,8.0
789,1.0
790,46.0
792,16.0
795,25.0
796,39.0
797,49.0
798,31.0
799,30.0
800,30.0
801,34.0
802,31.0
803,11.0
804,0.42
805,27.0
806,31.0
807,39.0
808,18.0
809,39.0
810,33.0
811,26.0
812,39.0
813,35.0
814,6.0
815,30.5
817,23.0
818,31.0
819,43.0
820,10.0
821,52.0
822,27.0
823,38.0
824,27.0
825,2.0
828,1.0
830,62.0
831,15.0
832,0.83
834,23.0
835,18.0
836,39.0
837,21.0
839,32.0
841,20.0
842,16.0
843,30.0
844,34.5
845,17.0
846,42.0
848,35.0
849,28.0
851,4.0
852,74.0
853,9.0
854,16.0
855,44.0
856,18.0
857,45.0
858,51.0
859,24.0
861,41.0
862,21.0
863,48.0
865,24.0
866,42.0
867,27.0
868,31.0
870,4.0
871,26.0
872,47.0
873,33.0
874,47.0
875,28.0
876,15.0
877,20.0
878,19.0
880,56.0
881,25.0
882,33.0
883,22.0
884,28.0
885,25.0
886,39.0
887,27.0
888,19.0
890,26.0
891,32.0
892,34.5
893,47.0
894,62.0
895,27.0
896,22.0
897,14.0
898,30.0
899,26.0
900,18.0
901,21.0
903,46.0
904,23.0
905,63.0
906,47.0
907,24.0
908,35.0
909,21.0
910,27.0
911,45.0
912,55.0
913,9.0
915,21.0
916,48.0
917,50.0
918,22.0
919,22.5
920,41.0
922,50.0
923,24.0
924,33.0
926,30.0
927,18.5
929,21.0
930,25.0
932,39.0
934,41.0
935,30.0
936,45.0
937,25.0
938,45.0
940,60.0
941,36.0
942,24.0
943,27.0
944,20.0
945,28.0
947,10.0
948,35.0
949,25.0
951,36.0
952,17.0
953,32.0
954,18.0
955,22.0
956,13.0
958,18.0
959,47.0
960,31.0
961,60.0
962,24.0
963,21.0
964,29.0
965,28.5
966,35.0
967,32.5
969,55.0
970,30.0
971,24.0
972,6.0
973,67.0
974,49.0
978,27.0
979,18.0
981,2.0
982,22.0
984,27.0
986,25.0
987,25.0
988,76.0
989,29.0
990,20.0
991,33.0
992,43.0
993,27.0
995,26.0
996,16.0
997,28.0
998,21.0
1001,18.5
1002,41.0
1004,36.0
1005,18.5
1006,63.0
1007,18.0
1009,1.0
1010,36.0
1011,29.0
1012,12.0
1014,35.0
1015,28.0
1017,17.0
1018,22.0
1020,42.0
1021,24.0
1022,32.0
1023,53.0
1026,43.0
1027,24.0
1028,26.5
1029,26.0
1030,23.0
1031,40.0
1032,10.0
1033,33.0
1034,61.0
1035,28.0
1036,42.0
1037,31.0
1039,22.0
1041,30.0
1042,23.0
1044,60.5
1045,36.0
1046,13.0
1047,24.0
1048,29.0
1049,23.0
1050,42.0
1051,26.0
1053,7.0
1054,26.0
1056,41.0
1057,26.0
1058,48.0
1059,18.0
1061,22.0
1063,27.0
1064,23.0
1066,40.0
1067,15.0
1068,20.0
1069,54.0
1070,36.0
1071,64.0
1072,30.0
1073,37.0
1074,18.0
1076,27.0
1077,40.0
1078,21.0
1079,17.0
1081,40.0
1082,34.0
1084,11.5
1085,61.0
1086,8.0
1087,33.0
1088,6.0
1089,18.0
1090,23.0
1093,0.33
1094,47.0
1095,8.0
1096,25.0
1098,35.0
1099,24.0
1100,33.0
1101,25.0
1102,32.0
1104,17.0
1105,60.0
1106,38.0
1107,42.0
1109,57.0
1110,50.0
1112,30.0
1113,21.0
1114,22.0
1115,21.0
1116,53.0
1118,23.0
1120,40.5
1121,36.0
1122,14.0
1123,21.0
1124,21.0
1126,39.0
1127,20.0
1128,64.0
1129,20.0
1130,18.0
1131,48.0
1132,55.0
1133,45.0
1134,45.0
1137,41.0
1138,22.0
1139,42.0
1140,29.0
1142,0.92
1143,20.0
1144,27.0
1145,24.0
1146,32.5
1149,28.0
1150,19.0
1151,21.0
1152,36.5
1153,21.0
1154,29.0
1155,1.0
1156,30.0
1161,17.0
1162,46.0
1164,26.0
1167,20.0
1168,28.0
1169,40.0
1170,30.0
1171,22.0
1172,23.0
1173,0.75
1175,9.0
1176,2.0
1177,36.0
1179,24.0
1183,30.0
1185,53.0
1186,36.0
1187,26.0
1188,1.0
1190,30.0
1191,29.0
1192,32.0
1194,43.0
1195,24.0
1197,64.0
1198,30.0
1199,0.83
1200,55.0
1201,45.0
1202,18.0
1203,22.0
1205,37.0
1206,55.0
1207,17.0
1208,57.0
1209,19.0
1210,27.0
1211,22.0
1212,26.0
1213,25.0
1214,26.0
1215,33.0
1216,39.0
1217,23.0
1218,12.0
1219,46.0
1220,29.0
1221,21.0
1222,48.0
1223,39.0
1225,19.0
1226,27.0
1227,30.0
1228,32.0
1229,39.0
1230,25.0
1232,18.0
1233,32.0
1235,58.0
1237,16.0
1238,26.0
1239,38.0
1240,24.0
1241,31.0
1242,45.0
1243,25.0
1244,18.0
1245,49.0
1246,0.17
1247,50.0
1248,59.0
1251,30.0
1252,14.5
1253,24.0
1254,31.0
1255,27.0
1256,25.0
1259,22.0
1260,45.0
1261,29.0
1262,21.0
1263,31.0
1264,49.0
1265,44.0
1266,54.0
1267,45.0
1268,22.0
1269,21.0
1270,55.0
1271,5.0
1273,26.0
1275,19.0
1277,24.0
1278,24.0
1279,57.0
1280,21.0
1281,6.0
1282,23.0
1283,51.0
1284,13.0
1285,47.0
1286,29.0
1287,18.0
1288,24.0
1289,48.0
1290,22.0
1291,31.0
1292,30.0
1293,38.0
1294,22.0
1295,17.0
1296,43.0
1297,20.0
1298,23.0
1299,50.0
1301,3.0
1303,37.0
1304,28.0
1306,39.0
1307,38.5
6,31.670014781729577
18,32.64178039660449
20,27.4835929584586
27,26.219080311960873
29,25.138503486973725
30,29.077456762129238
32,39.05726519001611
33,25.13966815615597
37,26.219042451197982
43,26.213033407259246
46,29.07606673126312
47,30.701951547232866
48,25.13966815615597
49,24.279611278472277
56,42.56255533542031
65,39.768257324997066
66,1.1257085218653629
77,29.077456762129238
78,29.07606673126312
83,25.139330113630166
88,29.07606673126312
96,29.07606673126312
102,29.077456762129238
108,29.0785457097857
110,24.08724483181249
122,29.07606673126312
127,31.67639972895701
129,5.965648938796761
141,30.680864312359134
155,29.08271490093731
159,29.070545370008283
160,-1.1967066826341721
167,45.286073165328844
169,42.648868860342866
177,2.088823787899983
181,3.707349133358491
182,29.758877383657087
186,42.431845558775194
187,31.966464193730594
197,31.67639972895701
199,25.13966815615597
202,24.55456310480761
215,30.771813669232845
224,29.077456762129238
230,6.992879603892646
236,22.543842392139496
241,18.712595292034088
242,24.165219974431828
251,29.08327830514699
257,40.56871240364172
261,31.67639972895701
265,25.13966815615597
271,42.603120438517074
275,25.13966815615597
278,32.758968472217354
285,42.64819277529126
296,39.768257324997066
299,42.607627672194496
301,25.13966815615597
302,29.727503365508724
304,28.708536885071524
305,29.07606673126312
307,32.481860110799474
325,24.55456310480761
331,23.190771792707686
335,42.03771195131672
336,29.077456762129238
348,29.363426855830255
352,42.56706256909773
355,26.219080311960873
359,25.138503486973725
360,25.138503486973725
365,30.701951547232866
368,27.48355509769571
369,25.13966815615597
376,39.637346164299814
385,29.077456762129238
389,31.67658722987799
410,6.992879603892646
411,29.077456762129238
412,31.684437929497314
414,32.758968472217354
416,30.34057937776085
421,26.213033407259246
426,29.08327830514699
429,31.67639972895701
432,29.363426855830255
445,29.075503327053443
452,28.064057968411582
455,29.07606673126312
458,42.774982700100374
460,31.67639972895701
465,29.07606673126312
467,32.758968472217354
469,31.67662509064088
471,29.08327830514699
476,42.41381662406552
482,32.758968472217354
486,6.992879603892646
491,28.064057968411582
496,26.153875965243138
498,29.012514736411525
503,25.140757103812433
508,42.64323481824609
512,29.07606673126312
518,31.528562464337696
523,26.219080311960873
525,26.219042451197982
528,40.88334756813534
532,26.219042451197982
534,30.61674891329786
539,29.017923416824427
548,29.769582063640954
553,31.675685783142505
558,37.96712888673794
561,31.67639972895701
564,29.07606673126312
565,22.53933515846208
569,26.219042451197982
574,25.13966815615597
579,26.513802552016703
585,26.205671291770553
590,29.07606673126312
594,14.098760351168103
597,25.924759476706726
599,26.219080311960873
602,29.077456762129238
603,42.500355510671945
612,29.085081198617956
613,24.165219974431828
614,31.67639972895701
630,31.676550270561833
634,42.882568926516996
640,28.098914209332527
644,28.639353648684207
649,29.080573964940537
651,29.077456762129238
654,25.138954210341467
657,29.077456762129238
668,29.0785457097857
670,42.773743210839086
675,32.758968472217354
681,25.136175050055968
693,28.639353648684207
698,25.139818697760795
710,1.1257085218653629
712,42.64323481824609
719,31.606537606957026
728,25.139780836997907
733,32.758968472217354
739,29.077456762129238
740,29.077456762129238
741,42.61213490587191
761,29.017923416824427
767,49.10845006138406
769,30.623976404613536
774,26.219080311960873
777,31.67639972895701
779,31.676512409798946
784,31.302232467934687
791,31.67639972895701
793,3.707349133358491
794,39.741439284616426
816,42.882568926516996
826,31.683611302840877
827,28.639353648684207
829,31.67639972895701
833,26.219042451197982
838,29.07606673126312
840,39.75041589120838
847,24.55456310480761
850,39.57484525634179
860,26.219042451197982
864,3.707349133358491
869,29.062995753598607
879,29.077456762129238
889,10.455018496485565
902,29.077456762129238
914,43.861473499471245
921,24.279611278472277
925,32.56674511443241
928,22.53933515846208
931,28.639353648684207
933,42.64323481824609
939,31.67639972895701
946,29.754106927532906
950,28.098914209332527
957,33.83417730426353
968,29.07606673126312
975,29.077456762129238
976,35.260067508929
977,25.24932686483513
980,25.75923487244344
983,29.0785457097857
985,29.07606673126312
994,31.67639972895701
999,31.67639972895701
1000,29.07009464664054
1003,25.13940493370921
1008,26.226179205002804
1013,30.771813669232845
1016,31.67639972895701
1019,23.190771792707686
1024,36.72272629150228
1025,25.32159314527864
1038,42.41505611332681
1040,42.64323481824609
1043,26.213033407259246
1052,25.139818697760795
1055,29.085531921985698
1060,41.032769971494794
1062,29.080573964940537
1065,26.219042451197982
1075,31.67639972895701
1080,3.707349133358491
1083,42.64819277529126
1091,30.34001597355117
1092,25.069806034155988
1097,39.78609785733902
1103,29.085081198617956
1108,25.138503486973725
1111,29.07606673126312
1117,30.680864312359134
1119,25.13966815615597
1125,31.675235059774764
1135,29.07753158220828
1136,5.550962680492908
1141,26.513839511332854
1147,29.080573964940537
1148,31.67639972895701
1157,29.077456762129238
1158,42.882568926516996
1159,29.080573964940537
1160,22.53933515846208
1163,31.67639972895701
1165,24.165219974431828
1166,26.219080311960873
1174,25.13966815615597
1178,29.08327830514699
1180,26.219042451197982
1181,29.07606673126312
1182,42.525596019265485
1184,26.219042451197982
1189,24.279611278472277
1193,29.758915244419974
1196,25.13966815615597
1204,29.080348603256667
1224,26.219080311960873
1231,0.4677726637562003
1234,42.33017660068746
1236,3.996854866488583
1249,29.077606402287326
1250,31.67639972895701
1257,43.59468924718519
1258,25.249289905518975
1272,31.67639972895701
1274,30.282436063322155
1276,32.64290720502384
1300,25.139931378602732
1302,25.13966815615597
1305,29.07606673126312
1308,29.07606673126312
1309,1.0615931228040907
